;Column Labels;;;;;;;;;;;;
Row Labels;A;B;C;D;E;F;G;H;I;J;K;L;Grand Total
1;0;0;0;1;0;2;1;2;0;0;0;0;6
2;0;0;0;5;0;0;0;0;5;0;0;0;10
3;0;0;0;1;0;0;0;0;1;0;0;0;2
4;0;2;2;9;0;14;1;2;1;0;0;0;31
5;0;0;0;3;0;1;1;0;1;0;0;0;6
6;0;0;0;2;0;0;1;0;1;0;0;0;4
7;0;0;2;0;0;1;0;1;0;1;0;0;5
8;0;0;0;3;0;2;0;0;1;0;0;0;6
9;1;0;0;1;0;1;0;0;1;0;0;0;4
10;0;0;0;4;0;1;0;0;3;0;0;0;8
11;0;0;0;4;0;0;2;0;2;0;0;0;8
12;0;0;0;1;0;1;0;2;0;0;0;0;4
13;0;0;0;2;0;1;1;0;0;0;0;0;4
14;2;0;2;4;0;2;0;0;0;0;0;0;10
15;0;0;0;0;0;1;1;0;0;0;0;0;2
16;0;0;0;1;0;0;0;0;1;0;0;0;2
17;0;0;0;2;0;1;0;1;1;0;0;0;5
18;2;1;0;11;0;16;0;14;6;0;0;0;50
19;0;0;0;1;0;0;0;0;1;0;0;0;2
20;0;0;0;2;0;0;1;0;1;0;0;0;4
21;0;0;0;1;0;0;0;0;1;0;0;0;2
22;2;1;7;7;0;4;0;7;5;2;0;0;35
23;0;0;0;0;0;1;1;0;0;0;0;0;2
24;0;0;0;3;0;0;2;1;1;0;1;0;8
25;0;0;0;2;0;0;1;0;1;0;0;0;4
26;1;0;0;0;0;1;0;2;0;0;0;0;4
27;0;0;0;1;0;7;0;7;0;0;0;0;15
28;0;0;0;1;0;2;0;1;0;0;0;0;4
29;0;0;0;5;0;1;0;0;4;0;0;0;10
30;0;0;0;1;0;0;0;0;1;0;0;0;2
31;0;0;0;2;0;1;0;0;1;0;0;0;4
32;0;0;0;1;0;0;0;0;1;0;0;0;2
33;0;0;0;2;0;2;0;1;0;0;0;0;5
34;0;0;0;3;0;2;1;1;1;0;0;0;8
35;0;0;0;1;0;0;0;0;1;0;0;0;2
36;1;0;0;1;0;4;0;2;2;0;0;0;10
37;0;0;0;2;0;0;0;0;2;0;0;0;4
38;0;0;0;2;0;1;0;1;1;0;0;0;5
39;0;1;0;0;0;1;1;0;0;0;0;0;3
40;0;0;0;1;0;1;0;0;0;0;0;0;2
41;0;0;0;1;0;0;0;0;1;0;0;0;2
42;0;0;0;0;0;0;0;0;0;0;0;0;0
43;1;0;0;0;0;5;0;0;0;0;0;0;6
44;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1;0;0;3;0;2;0;0;2;0;0;0;8
46;0;1;0;1;0;1;2;0;0;0;0;0;5
47;0;0;0;1;0;0;0;0;1;0;0;0;2
48;0;0;0;0;0;0;0;1;0;0;1;0;2
